points,price,size,psm,distance,floor,location,found_location,built,renewed,url
21.538331143768655,51000.0,19.22,2653.4859521331946,4.476933858828856,12,"DRAVLJE, CELOVŠKA CESTA 264, LIPA.","Lipa, Celovška cesta, Dravlje, Ljubljana, Upravna Enota Ljubljana, Osrednjeslovenska, 1001, Slovenija",1983,,https://www.nepremicnine.net/oglasi-prodaja/dravlje-celovska-cesta-264-lipa-stanovanje_6217685/
20.807113070829153,95000.0,32.3,2941.1764705882356,4.2049595296676685,4,DRAVELJSKA GMAJNA,"Draveljska gmajna, Ljubljana, Upravna Enota Ljubljana, Osrednjeslovenska, 1117, Slovenija",1981,,https://www.nepremicnine.net/oglasi-prodaja/draveljska-gmajna-stanovanje_6229465/
19.370690832159333,83000.0,25.37,3271.5806070161607,3.946500866948427,,"FUŽINE, GAŠPERŠIČEVA","Gašperšičeva ulica, Nove Fužine, Ljubljana, Upravna Enota Ljubljana, Osrednjeslovenska, 1260, Slovenija",1984,,https://www.nepremicnine.net/oglasi-prodaja/fuzine-gaspersiceva-stanovanje_6198341/
18.669843616849864,92000.0,29.8,3087.248322147651,4.324570865289366,3,FUŽINE,"Fužine, Ljubljana, Upravna Enota Ljubljana, Osrednjeslovenska, 1260, Slovenija",1980,,https://www.nepremicnine.net/oglasi-prodaja/fuzine-stanovanje_6220496/
17.256201453093666,104000.0,30.0,3466.6666666666665,3.9851783179241864,1,"DRAVLJE, CELOVŠKA CESTA 263","Mercator - Dravlje, 249, Celovška cesta, Dravlje, Ljubljana, Upravna Enota Ljubljana, Osrednjeslovenska, 1117, Slovenija",1987,,https://www.nepremicnine.net/oglasi-prodaja/dravlje-celovska-cesta-263-stanovanje_6228018/
16.444472433649338,119000.0,44.9,2650.3340757238307,6.522659949257491,2,"ČRNUČE, POLANŠKOVA ULICA","Polanškova ulica, Črnuče, Ljubljana, Upravna Enota Ljubljana, Osrednjeslovenska, 1231, Slovenija",1986,,https://www.nepremicnine.net/oglasi-prodaja/crnuce-polanskova-ulica-stanovanje_6211600/
15.947719750202642,127900.0,43.0,2974.4186046511627,1.207213926618031,PK,"KOLEZIJA, LJ.","Kolezija, Gunduličeva ulica, Vrtača, Vič, Ljubljana, Upravna Enota Ljubljana, Osrednjeslovenska, 1127, Slovenija",1930,,https://www.nepremicnine.net/oglasi-prodaja/kolezija-lj-stanovanje_6215357/
15.12413342774421,120000.0,32.4,3703.703703703704,3.4595413106747226,,KOSEZE,"Koseze, Ljubljana, Upravna Enota Ljubljana, Osrednjeslovenska, SI-1000, Slovenija",1977,,https://www.nepremicnine.net/oglasi-prodaja/koseze-stanovanje_6211153/
15.008732505738752,95000.0,27.0,3518.5185185185187,4.324570865289366,2,FUŽINE,"Fužine, Ljubljana, Upravna Enota Ljubljana, Osrednjeslovenska, 1260, Slovenija",1981,,https://www.nepremicnine.net/oglasi-prodaja/fuzine-stanovanje_6225034/
14.551906538675743,79000.0,27.0,2925.925925925926,4.147542430717822,M,"DRAVLJE, ČEBELARSKA ULICA","Dravlje, Ljubljana, Upravna Enota Ljubljana, Osrednjeslovenska, 1117, Slovenija",1970,,https://www.nepremicnine.net/oglasi-prodaja/dravlje-cebelarska-ulica-stanovanje_6210706/
14.52539917240542,86000.0,23.1,3722.9437229437226,4.324570865289366,4,FUŽINE,"Fužine, Ljubljana, Upravna Enota Ljubljana, Osrednjeslovenska, 1260, Slovenija",1984,,https://www.nepremicnine.net/oglasi-prodaja/fuzine-stanovanje_6228809/
14.335244538855322,119000.0,31.0,3838.7096774193546,3.4595413106747226,4,KOSEZE,"Koseze, Ljubljana, Upravna Enota Ljubljana, Osrednjeslovenska, SI-1000, Slovenija",1979,,https://www.nepremicnine.net/oglasi-prodaja/koseze-stanovanje_6220372/
14.335244538855322,119000.0,31.0,3838.7096774193546,3.4595413106747226,4,KOSEZE,"Koseze, Ljubljana, Upravna Enota Ljubljana, Osrednjeslovenska, SI-1000, Slovenija",1979,,https://www.nepremicnine.net/oglasi-prodaja/koseze-stanovanje_6220367/
13.97549752798042,127900.0,42.0,3045.2380952380954,1.207213926618031,PK,KOLEZIJA,"Kolezija, Gunduličeva ulica, Vrtača, Vič, Ljubljana, Upravna Enota Ljubljana, Osrednjeslovenska, 1127, Slovenija",1923,,https://www.nepremicnine.net/oglasi-prodaja/kolezija-stanovanje_6192721/
13.582859916689003,118000.0,41.7,2829.7362110311747,6.48811361999464,3,"ČRNUČE, SPODNJE","Črnuče, Ljubljana, Upravna Enota Ljubljana, Osrednjeslovenska, 1231, Slovenija",1985,,https://www.nepremicnine.net/oglasi-prodaja/crnuce-spodnje-stanovanje_6233033/
12.707751032320417,84900.0,28.0,3032.1428571428573,3.191473085576433,P,LITOSTROJ,"Litostroj, Goriška ulica, Šiška, Ljubljana, Upravna Enota Ljubljana, Osrednjeslovenska, 1001, Slovenija",1953,,https://www.nepremicnine.net/oglasi-prodaja/litostroj-stanovanje_6226677/
11.49397102780011,98000.0,31.0,3161.2903225806454,6.48811361999464,3,ČRNUČE,"Črnuče, Ljubljana, Upravna Enota Ljubljana, Osrednjeslovenska, 1231, Slovenija",1999,,https://www.nepremicnine.net/oglasi-prodaja/crnuce-stanovanje_6231784/
11.342065839072088,90000.0,35.0,2571.4285714285716,4.324570865289366,1,"FUŽINE, ULICA MIRE MIHELIČEVE","Fužine, Ljubljana, Upravna Enota Ljubljana, Osrednjeslovenska, 1260, Slovenija",1885,,https://www.nepremicnine.net/oglasi-prodaja/fuzine-ulica-mire-miheliceve-stanovanje_6213321/
10.524128760897964,110000.0,34.0,3235.294117647059,4.147542430717822,P,DRAVLJE,"Dravlje, Ljubljana, Upravna Enota Ljubljana, Osrednjeslovenska, 1117, Slovenija",1983,,https://www.nepremicnine.net/oglasi-prodaja/dravlje-stanovanje_6223470/
9.7361581165233,106000.0,33.0,3212.121212121212,4.549988718701075,P,"DRAVLJE, LJ., ŠIŠKA, BRILEJEVA ULICA","Ljubljana Stegne, Cesta Ljubljanske brigade, Industrijska cona Stegne, Dravlje, Ljubljana, Upravna Enota Ljubljana, Osrednjeslovenska, 1001, Slovenija",1987,,https://www.nepremicnine.net/oglasi-prodaja/dravlje-lj-siska-brilejeva-ulica-stanovanje_6234614/
9.423425549301143,115000.0,24.9,4618.4738955823295,4.294377868167725,1,DOLGI MOST,"Dolgi Most, Ljubljana, Upravna Enota Ljubljana, Osrednjeslovenska, SI-1000, Slovenija",2003,,https://www.nepremicnine.net/oglasi-prodaja/dolgi-most-stanovanje_6233852/
7.753425549301146,115000.0,23.23,4950.495049504951,4.294377868167725,1,DOLGI MOST,"Dolgi Most, Ljubljana, Upravna Enota Ljubljana, Osrednjeslovenska, SI-1000, Slovenija",2003,,https://www.nepremicnine.net/oglasi-prodaja/dolgi-most-stanovanje_6233147/
6.730639893248457,128000.0,24.3,5267.489711934156,3.7233130922870377,,BRDO,"Brdo, Ljubljana, Upravna Enota Ljubljana, Osrednjeslovenska, SI-1000, Slovenija",2002,,https://www.nepremicnine.net/oglasi-prodaja/brdo-stanovanje_6229339/
6.5296843164535225,119000.0,33.7,3531.1572700296733,4.147542430717822,P,DRAVLJE,"Dravlje, Ljubljana, Upravna Enota Ljubljana, Osrednjeslovenska, 1117, Slovenija",1978,,https://www.nepremicnine.net/oglasi-prodaja/dravlje-stanovanje_6223857/
6.481317324143042,108000.0,34.1,3167.155425219941,4.635150508872337,P+1,JARŠE,"Jarše, Ljubljana, Upravna Enota Ljubljana, Osrednjeslovenska, 1231, Slovenija",1909,,https://www.nepremicnine.net/oglasi-prodaja/jarse-stanovanje_6167778/
4.229684316453519,125000.0,33.4,3742.5149700598804,4.147542430717822,P,DRAVLJE,"Dravlje, Ljubljana, Upravna Enota Ljubljana, Osrednjeslovenska, 1117, Slovenija",1978,,https://www.nepremicnine.net/oglasi-prodaja/dravlje-stanovanje_6225782/
-2.3371452671966892,128000.0,23.3,5493.562231759656,4.292914864127206,5,"LJ. CENTER, INVESTICIJSKA PRILOŽNOST","Mestna občina Lj., 2a, Pot do šole, Fužine, Ljubljana, Upravna Enota Ljubljana, Osrednjeslovenska, 1260, Slovenija",1961,,https://www.nepremicnine.net/oglasi-prodaja/lj-center-investicijska-priloznost-stanovanje_6233960/
